lr-PolyOptimizer/pg1,lr-PolyOptimizer/pg2,lr-PolyOptimizer/pg3,lr-PolyOptimizer/pg4,step,train_loss_step,epoch,avg_val_loss,train_loss_epoch
0.09995859904763936,0.19991719809527872,0.9995859904763935,1.999171980952787,49,,,,
,,,,49,1.0562491416931152,0,,
0.09991359585133947,0.19982719170267893,0.9991359585133945,1.998271917026789,99,,,,
,,,,99,0.8007009029388428,0,,
0.09986859040266105,0.1997371808053221,0.9986859040266104,1.9973718080532208,149,,,,
,,,,149,0.6331257820129395,0,,
0.09982448287650292,0.19964896575300584,0.9982448287650292,1.9964896575300584,199,,,,
,,,,199,0.5060070157051086,0,,
0.09977947296445365,0.1995589459289073,0.9977947296445364,1.9955894592890728,249,,,,
,,,,249,0.5343492031097412,0,,
0.09973446079632486,0.19946892159264973,0.9973446079632485,1.994689215926497,299,,,,
,,,,299,0.5124907493591309,0,,
0.09968944637087204,0.19937889274174408,0.9968944637087204,1.9937889274174407,349,,,,
,,,,349,0.49401435256004333,0,,
0.09964442968684932,0.19928885937369864,0.9964442968684931,1.9928885937369862,399,,,,
,,,,399,0.4967662990093231,0,,
0.09959941074300953,0.19919882148601906,0.9959941074300952,1.9919882148601904,449,,,,
,,,,449,0.4943940043449402,0,,
0.09955438953810417,0.19910877907620833,0.9955438953810416,1.9910877907620832,499,,,,
,,,,499,0.5241066813468933,0,,
0.09950936607088345,0.1990187321417669,0.9950936607088344,1.9901873214176689,549,,,,
,,,,549,0.6216073036193848,0,,
0.09946434034009624,0.19892868068019248,0.9946434034009624,1.9892868068019247,599,,,,
,,,,599,0.6047446727752686,0,,
0.0994193123444901,0.1988386246889802,0.994193123444901,1.988386246889802,649,,,,
,,,,649,0.5186195969581604,0,,
0.09937428208281125,0.1987485641656225,0.9937428208281125,1.987485641656225,699,,,,
,,,,699,0.554770827293396,0,,
0.09932924955380462,0.19865849910760924,0.9932924955380462,1.9865849910760924,749,,,,
,,,,749,0.5173317790031433,0,,
0.09928421475621378,0.19856842951242756,0.9928421475621377,1.9856842951242755,799,,,,
,,,,799,0.49321502447128296,0,,
0.09923917768878096,0.19847835537756192,0.9923917768878096,1.984783553775619,849,,,,
,,,,849,0.4385000765323639,0,,
0.0991941383502471,0.1983882767004942,0.9919413835024709,1.9838827670049417,899,,,,
,,,,899,0.4424137473106384,0,,
0.09914909673935175,0.1982981934787035,0.9914909673935175,1.982981934787035,949,,,,
,,,,949,0.5123353004455566,0,,
0.09910405285483317,0.19820810570966635,0.9910405285483317,1.9820810570966634,999,,,,
,,,,999,0.5349050760269165,0,,
0.0990590066954283,0.1981180133908566,0.990590066954283,1.981180133908566,1049,,,,
,,,,1049,0.4875441789627075,0,,
,,,,1089,,0,0.24955692887306213,
,,,,1089,,0,,0.5498670935630798
0.09901395825987266,0.19802791651974533,0.9901395825987266,1.9802791651974532,1099,,,,
,,,,1099,0.49266934394836426,1,,
0.0989689075469005,0.197937815093801,0.989689075469005,1.97937815093801,1149,,,,
,,,,1149,0.565144956111908,1,,
0.0989238545552447,0.1978477091104894,0.989238545552447,1.978477091104894,1199,,,,
,,,,1199,0.5201231837272644,1,,
0.0988787992836368,0.1977575985672736,0.9887879928363679,1.9775759856727357,1249,,,,
,,,,1249,0.5026360154151917,1,,
0.09883374173080695,0.1976674834616139,0.9883374173080695,1.976674834616139,1299,,,,
,,,,1299,0.5103360414505005,1,,
0.09878868189548404,0.19757736379096807,0.9878868189548403,1.9757736379096806,1349,,,,
,,,,1349,0.5351481437683105,1,,
0.0987436197763955,0.197487239552791,0.9874361977639549,1.9748723955279097,1399,,,,
,,,,1399,0.5402424931526184,1,,
0.09869855537226749,0.19739711074453498,0.9869855537226748,1.9739711074453496,1449,,,,
,,,,1449,0.5511330366134644,1,,
0.09865348868182475,0.1973069773636495,0.9865348868182474,1.9730697736364948,1499,,,,
,,,,1499,0.5400391817092896,1,,
0.09860841970379072,0.19721683940758145,0.9860841970379072,1.9721683940758143,1549,,,,
,,,,1549,0.4582573175430298,1,,
0.09856334843688742,0.19712669687377485,0.9856334843688742,1.9712669687377484,1599,,,,
,,,,1599,0.4930920898914337,1,,
0.09851827487983558,0.19703654975967116,0.9851827487983558,1.9703654975967115,1649,,,,
,,,,1649,0.45674827694892883,1,,
